Anomaly,Count
Other CTLR WORKLOAD,6
Other HOLD LINE PLACEMENT,6
Other Freq Congestion,6
Other Atc Proc,6
Other Distraction,6
Other ACFT STATUS,6
Other PROP STRIKE,6
Other CREW COORD.,6
Other FLC FATIGUE,6
Other ACFT ICING,6
Other Hard Lndg,6
Other FMS Data Base Prob,6
Other Cockpit Coord,5
Other Electrical Failure,5
Other Overweight Landing,5
Other Overwt Lndg,5
Other WRONG ARPT APCH,5
Other Acft Performance,5
Other ATC,5
Other Clrnc Confusion,5
Other Unauth Tkof,5
Other APCH TO WRONG ARPT,5
Other Security Concern,5
Other COM PROBLEM,5
Other MISREAD CHART,5
Other MAP SHIFT,5
Other NORAC TFC,5
Other TCAS TA,5
Other atc handling,5
Other flc distr,5
Other CTLR PHRASEOLOGY,5
Other WX DEVIATION,5
Other ARPT CONSTRUCTION,5
Other WRONG ALT SETTING,5
Other Coord,5
Other Right Of Way,5
Other Txwy Tkof,5
Other TCASII RA,5
Other Ground Loop,5
Other FLC PLANNING,5
Other ACFT AGE,5
Other CREW BRIEFING,5
Other Tail Strike,5
Other Jet Blast,5
Other ATC Technique,5
Other Crew Coord,5
Other CLRNC CONFUSION,5
Other PERCEPTUAL ILLUSION,5
Other ENGINE FAILURE,5
Other LOSS OF CABIN PRESS,5
Other ATC Phraseology,5
Other Plt Qual,5
Other Crew Concept CRM,5
Other FUEL STARVATION,5
READBACK,5
Other Loss Of Cabin Pressure,4
Other Airframe Vibration,4
Other Inflt Eng Shutdown,4
Other Lightning Strike,4
Other Advanced Nav System Function Op,4
Other Pressurization Loss,4
Other Ctlr Attitude,4
Other Eng Failure,4
Other Altimeter Setting,4
Other Clrnc Expected,4
Other Hypoxia,4
Other NAV TECH,4
Other FLC DISTR/FATIGUE,4
Other INTERFAC COORD,4
Other Interfac Coord,4
Other LNDG ON OCC RWY,4
Other VISUAL SEPARATION,4
Other ATC PLANNING,4
Other RESOURCE UTIL,4
Other CTLR TECH,4
Other ACFT ID,4
Other CTLR Handling,4
Other 910,4
Other Freq Guarded,4
Other ATC Procedure,4
Other NON TWR ARPT,4
Other language barrier,4
Other SPLIT FREQ OP,4
Other ATC PROCS,4
Other Clrnc/Interp,4
Other Parking Space,4
hearback,4
Other MVA,4
Other Controller Tech,4
CRM.,4
Other FREQUENCY CONGESTION,4
Other NON TOWERED ARPT,4
Other Frequency Congestion,4
Other ARPT SECURITY,4
Other Flt Crew Distr,4
Other Nav Error,4
Other RATE OF DESCENT,4
Other GO AROUND,4
Other Readback,4
Other CLRNC/MISUNDERSTANDING,4
Other ARPT SIGNAGE,4
Other Icing,4
Other Reply To Wrong Call Sign,4
Other COCKPIT MGMNT,4
Other CREW DISTRACTION,4
Other READBACK / HEARBACK,4
Other COMMAND AUTH,4
Other WRONG ALTIMETER SETTING,4
Other PLT DISTRACTION,4
Other Chart Presentation,4
Other Bird Strike,4
Other FUEL EXHAUSTION,4
Other LANDED ON WRONG RWY,4
Other MED EMERG,4
Other ACFT SECURITY,4
Other INFLT ENG SHUTDOWN,4
Other TXWY LNDG,4
Other Check List Use,3
Other CHECKLIST USE,3
Other COM PROBLEMS,3
Other OVERWT LNDG,3
Other Loss Of Com,3
Other Off Airport Landing,3
Other Vibration,3
Other Fuel Dumped,3
Other Flt Gnd Crew Coord,3
Other Fuel Problem,3
Other Loss Of Cabin Pressurization,3
Other Compressor Stall,3
Other Off Arpt Landing,3
Other CRM Breakdown,3
Other Loss Of Pressurization,3
Other Cabin Pressurization Loss,3
Other Disorientation,3
Other Wrong Arpt Apch,3
Other Nav Tech,3
Other Com Proc,3
Other Wrong Arpt Lndg,3
Other Chart Error,3
Other LOST,3
Other TCAS,3
Other DIVERSION,3
Other TRAFFIC VOLUME,3
Other ATC HANDLEING,3
Other FUEL LEAK,3
Other Restr Airspace Entry,3
Other NORDO TFC,3
Other WRONG ARPT,3
Other Security Breach Concern!,3
Other Fac Coord,3
Other TKOF DELAYED,3
Other FAC COORD,3
Other PLT DISCRETION,3
Other CTLR.TECHNIQUE,3
Other TKOF WITHOUT CLRNC,3
Other CTLR HANDELING,3
Other ATC OPERROR,3
Other POSITION REPORTING,3
Other TFC SPACING CTL,3
Other ARPT CONSTR,3
Other CTLR PHRASOLOGY,3
Other clrnc interp,3
Other UNK VFR TFC,3
Other CREW COORD,3
Other Parking Space Allocation,3
Other RESOURCE UTIL.,3
Other CTLR HANDLING SEE AND AVOID CONCEPT,3
Other COM TECH,3
Other WRONG RWY TKOF,3
Other FLC CONFUSION,3
HEARBACK. CTLR HANDLING,3
Other ATC Proc,3
Other Mind Set,3
Other Atc Planning,3
Other APCH TO OCC RWY,3
Other Readback/Hearback,3
Other Right of Way,3
Other TCAS II RA,3
Other Traffic Spacing,3
Other Similar Alpha Numeric,3
Other ATC Service,3
Other FLC RESPONSE,3
Other ATC COORD,3
Other CREW BRIEF,3
Other ATC HANDELING,3
Other COM TECHNIQUE,3
Other RESPONDED TO ANOTHER ACFT CLRNC,3
Other CREW FATIGUE,3
Other ARPT LAYOUT,3
Other Wrong Rwy Apch,3
Other Windshear,3
Other Com Problem,3
Other Closed Rwy,3
Other Loss Of Situational Awareness,3
Other Hit Fuel Truck,3
Other Language Problem,3
Other Signage,3
Other Crew Comp,3
Other Cockpit Coordination,3
Other LINED UP ON WRONG RWY,3
Other BRIEFING,3
Other FLL DISTR,3
Other LOSS OF COM FREQ,3
Other OFF ARPT LNDG,3
"Other TCAS ""TA""",3
Other Stall Warning,3
Other Lost Comm,3
Other Hearback / Readback,3
Other Coordination,3
Other GPWS,3
Other FMC Operation,3
Other CLRNC/DISPUTED,3
Other CREW COORDINATION,3
Other CLRNC / INTERP.,3
Other FLC COMPLACENCY,3
Other AMENDED CLRNC,3
Other MISINTERPRETED CLRNC,3
Other CREW COORD CRM,3
Other FALSE TCAS RA,3
Other CHART PRESENTATION,3
Other COCKPIT DISTRACTION,3
Other SIMILAR CALL SIGN,3
Other ALTIMETER SETTING,3
Other VERTIGO,3
Other Incorrect Tkof Wts,3
Other Off Field Landing,3
Other Fuel Burn,3
Other FREQ CHG MISSED,3
Other CHECK LIST USE,3
Other FUEL REQ,3
Other READBACK - HEARBACK,3
Other LOSS OF PRESSURIZATION,3
Other CLRNC,3
Other HARD LANDING,3
Other WRONG ARPT LNDG,3
Other Long Lndg,3
Other LONG LNDG,3
Other LANDED ON TXWY,3
Other Med Emerg,3
FATIGUE,3
CTLR HANDLING,3
Other Pressurization Problem,3
Other Crew Fatigue,3
Other False Warning,3
Other FALSE WARNING,3
Other SPARKS,3
Other CABIN PRESS LOSS,3
Other Icy Taxiway,3
Other ACFT STRANDED,3
Other Wrong Rwy Tkof,3
Other RWY CONSTRUCTION,3
Other RWY CLOSURE,3
Other Night Circling Apch,3
Other MINIMUM FUEL,3
Other ENG FAN BLADE ICING DAMAGE,3
Other INFLT ENGINE SHUTDOWN,2
Other Loss Of Main Hydraulics,2
Other OVER WT LNDG,2
Other LOSS OF CABIN PRESSURE,2
Other AIRFRAME VIBRATION,2
Other Mel Interp,2
Other FUEL REMAINING,2
Other FORCED LNDG,2
Other BATTERY CHARGER C/B TRIPPED,2
Other Hi Speed Abort,2
Other Off Arpt Lndg,2
Other Push Back Proc,2
Other Publication Deficiency,2
Other Unable To Pressurize,2
Other Engine Fire Warning,2
Other Blown Tire,2
Other NORDO,2
Other Tire Failure,2
Other Abort,2
Other Hydraulic System Failure,2
Other Flt Crew Conflict,2
Other Hydraulic Pump Failure,2
Other APU Fire Warning,2
Other Com Confusion,2
Other Inadequate Ground De-Icing,2
Other Incorrect Tkof Wt Data,2
Other Hot Brakes,2
Other Fuel Contamination,2
Other Eng Power Loss,2
Other Ice Accumulation,2
Other Hearback/Readback,2
Other Pressurization,2
Other NAV Tech,2
Other Holding Area,2
Other Freq Assignment,2
Other Position Reporting,2
Other Acft Intercept,2
Other Plt Got Lost,2
Other W.A.S,2
Other Apch To Wrong Arpt,2
Other Radio Com Prob,2
Other DEP PROC,2
Other Disoriented Plt,2
Other Wrong Airport Landing,2
Other Coord Failure,2
Other GPWS Warning,2
Other 852,2
Other Clearance Disputed,2
Other Clearance Confusion,2
Other Unauthorized Takeoff,2
Other norac tfc,2
Other FLT PLANNING,2
Other SKD PRESS.,2
Other Track Dev,2
Other NORAC VFR TFC,2
Other SEE + AVOID,2
Other JUD OF TFC SPACING,2
Other PLT EXP,2
Other AIR INTERCEPT,2
Other Freq Used,2
Other UNATHORIZED FLT,2
Other Notam Issued,2
Other Security Breach Concerns!,2
Other Entered TFR Airspace,2
Other Security,2
Other LANDED WITHOUT CLRNC,2
Other FREQ ASSIGNMENT,2
Other PLT DISTR/TASK,2
Other Com Tech,2
Other Planning,2
Other WRONG FREQ,2
Other UNAUTH LNDG,2
Other FLOW CTL,2
Other ENTERED TFR AIRSPACE,2
Other PLT PROFICIENCY,2
Other WRONG CHART,2
Other Ctlr Error,2
Other Wrong Runway Approach,2
Other CTLR SPEECH RATE,2
Other FLC GND Coord,2
Other CTLR CONFUSION,2
Other ATC HANDING,2
Other Tfc Ctl,2
Other TCASRA,2
Other TAXI PROC,2
Other CONTROLLER TECHNIQUE,2
Other CTLR TECH.,2
Other COORDINATED TCAS RA,2
Other TCAS EVENT,2
Other SKD PRESS,2
Other SPATIAL DISORIENT,2
Other Similar Callsigns,2
hearback.,2
Other ATTITUDE,2
TRAFFIC VOLUME,2
SEE AND AVOID,2
Other WX Avoidance,2
Other CTLR ACTION,2
Other See & Avoid,2
Other PARKING PROC,2
Other RAMP DEP PROC,2
Other WRONG TFC SIGHTED,2
Other RAMP CONGESTION,2
Other SECTOR SATURATION,2
Other FREQ CHG/MISSED,2
Other TRAINING,2
Other PLT TECH,2
Other SIMILAR SOUNDING CALL SIGN,2
Other VD DISTR,2
Other NO TFC ADVISORY,2
Other ATC EQUIP FAILURE,2
Other Intrafac Coord,2
Other ATC CONFUSION,2
Other INSTR PLT DISTR,2
Other TRAFFIC SPACING,2
Other NO HAND OFF,2
Other RWY CHANGE,2
Other Cockpit Workload,2
Other Ctlr Training,2
Other False GPWS,2
Other Overshoot Final,2
Other No Tfc Adv,2
Other False TCAS RA,2
Other Atc Perception,2
Other No Tfc Advisory,2
Other No TFC Advisory,2
Other CRM LACKING,2
Other CLRNC EXP,2
Other Loss of SA,2
Other Improper Clrnc,2
Other Clearance Interp,2
Other Visual Separation,2
Other Flight Crew Experience,2
Other No Traffic Advisory,2
Other Wrong Freq,2
Other Supvr Distraction,2
Other Rwy Configuration,2
Other Chart Confusion,2
Other Radio Failure,2
Other Tkof From Txwy,2
Other Deer On Rwy,2
Other Tkof Without Clearance,2
Other Flight Crew Fatigue,2
Other Ramp Lighting,2
Other CTLR ERROR,2
Other FLT/GND CREW COORD,2
Other MISREAD INSTRUMENT,2
Other LANGUAGE PROB,2
Other FLC/GND COORD,2
Other BIRD STRIKE,2
Other VISUAL INTERF,2
Other LNDG ON OCCUPIED RWY,2
Other NOSE GEAR COLLAPSED,2
Other ATC TECH,2
Other EMERG TFC,2
Other POOR CTLR TECHNIQUE,2
Other FREQ IN USE,2
Other ABORTED TKOF,2
Other Loss Of Balloon Ctl,2
Other Hold Short Line Placement,2
Other Alt Change Protocol Not Followed,2
Other Similar A/N,2
Other Hold Line Placement,2
Other Incompatable GPWS Database,2
Other OPP DIR TFC,2
Other Illusion,2
Other Fuel Leak,2
Other Gnd Loop,2
Other Alt Change,2
Other WING TIP DAMAGE,2
Other Stick Shaker,2
Other Vertigo,2
Other reply to wrong call sign,2
Other Crew Workload,2
Other Sim Call Sign,2
Other TCAS 11 RA,2
Other Clearance Not Received,2
Other Improper Clearance,2
Other prop strike,2
Other Propeller Strike,2
Other Communication Problem,2
Other Late Clearance,2
Other TCAS Resolution,2
Other Clearance Readback,2
Other Flight Crew Coordination,2
Other TCAS 2,2
Other PARKING BRAKE PROBLEM,2
Other ATC COM PROB,2
Other Ctlr Technique,2
Other APCH WRONG RWY,2
Other TKOF PERFORMANCE,2
Other COCKPIT CRM,2
Other FALSE ALARM,2
Other WET RWY,2
Other CRM / COORD,2
Other AUDITORY INTERF.,2
Other Tail Skid Strike,2
Other GND LOOP,2
Other PUSHBACK PROC,2
Other SIMILAR A/N,2
Other CLRNC INTERP.,2
Other ACFT DAMAGE,2
Other WRONG RWY APCH/LNDG,2
Other APCH TO WRONG RWY,2
Other Tcas Ra,2
Other Stuck Mike,2
Other 930,2
Other Acft Confign,2
Other Pilot Fatigue,2
Other Terrain,2
Other Airframe Icing,2
Other crm,2
Other Altimeter Misset,2
Other Cockpit Management,2
Other Training,2
Other distr,2
Other Emergency Descent,2
Other Crew Distraction,2
Other FMS Operation,2
Other FLC DISTR/PERSONAL,2
Other W. A. S.,2
Other Freq Cong,2
Other WRONG ALT. SETTING,2
Other RADIO COM PROB,2
Other CLRNC DISPUTED,2
Other FLC PERCEPTION,2
Other #2 ENGINE FAILURE,2
Other COORD,2
Other FLC.DISTR,2
Other CLRNC / DISPUTED,2
Other CLRNC MISUNDERSTANDING,2
Other LATE CLRNC,2
Other CTLR MISSPOKE READBACK-HEARBACK,2
Other RATE OF CLIMB,2
Other FLC VIGILANCE,2
Other STUCK MIC,2
Other WRONG CALL SIGN,2
Other FALSE GPWS WARNING,2
Other GPWS WARNING,2
Other MISUNDERSTOOD CLRNC,2
Other EMER DECLARED,2
Other CLRNC READBACK HEARBACK,2
Other ALT CHANGE PROTOCOL,2
Other CLRNC/UNDERSTANDING,2
Other FMC VNAV OPERATION,2
Other LANG.BARRIER,2
Other TECH/FLYING,2
Other CKPIT MGMNT,2
CREW CONCEPT,2
Other SIMILAR SOUNDING CALLSIGN,2
Other TAILWIND,2
Other Res Util,2
Other Acft Age,2
Other ATC ATTITUDE,2
Other LOSS OF CAB PRESS,2
Other PLT EXP LEVEL,2
Other DESCENDED BELOW MDA,2
Other CHART DEPICTION,2
Other DESCENT PROC,2
Other crew concept crm,2
Other ATC PROCEDURE,2
Other AUTOPLT MALFUNCTION,2
Other Flc Exp Level,2
Other Flc Workload,2
Other CFIT,2
Other Stall,2
Other Inaccurate Wt Manifest,2
Other Overwt Tkof,2
Other Arpt Markings,2
Other Landed at Closed Arpt,2
Other Chart Accuracy,2
Other Insufficient Fuel,2
Other Hydroplaning,2
Other Closed Runway,2
Other Landed Overweight,2
Other Unprofessional Attitude,2
Other readback/hearback,2
Other FMC PROTOCOL,2
Other Perceptual Illusion,2
Other ELECTRICAL FAILURE,2
Other Loss Of Communication,2
Other Fuel Req,2
Other CREW REST,2
Other CTLR PERCEPTION,2
Other MIN FUEL,2
Other CKLIST DESIGN,2
Other Perception,2
Other FLT TIME,2
Other WRONG CLRNC,2
Other FLC INCAPACITATION,2
Other EQ. OP PROCS,2
Other TKOF W/O CLRNC,2
Other COCKPIT WORKLOAD MGMNT,2
Other DISPATCH RELEASE,2
Other NAV ERROR,2
Other CREW COORD. CRM,2
Other CTLR STAFFING,2
Other CLRNC CONFUSION/INTERP,2
Other CROSS WIND TECHNIQUE,2
FORCED LNDG,2
Other Plt Behavior,2
Other FATIQUE,2
Other OVERWEIGHT LNDG,2
Other BRAKING ACTION,2
Other Overheated Brakes,2
Other Proximity Of Windmills,2
Other Blown Tires,2
Other FMS PROGRAMMING,2
Other Plt Experience Level,2
Other Crew concept,2
Other FMS Database Prob,2
Other FMS Programming,2
Other Prox Of Obstruction,2
Other FLEET INCONSISTANCY,2
Other Course Change Procedure,2
Other Fumes,2
Other +,2
Other Miscommunication with ATC,2
Other Controller Technique,2
Other Wrong Airport Approach,2
Other Landed On Taxiway,2
Other Aircraft Damage,2
Other Chart Clutter,2
Other Behavior,2
Other Misread Chart,2
Other fatigue,2
Other IRS MALFUNCTION,2
Other CREW COORDINATION CRM,2
Other Lost,2
Other Confusion On Clrnc,2
Other FLC COMPOSITION,2
Other Diversion,2
Other MEDICAL EMER,2
Other PAX MEDICAL EMER,2
Other Divert,2
Other ENG COMPRESSOR STALL,2
Other LOST HYDRAULICS,2
Other Right Engine Failure,2
Other PAX AGGRESSION,2
Other SMOKE IN COCKPIT,2
Other Nil Braking,2
Other Situational Awareness,2
Other Acft Damaged,2
Other Gear Collapse,2
Other RWY CONDITION,2
Other Anti-Skid Failure,2
Other PLT DISTRACTED,2
Other CHKLIST USE,2
Other 968,2
Other Locked Brake,2
Other NIL Braking,2
Other Sink Rate,2
Other Landed On Closed Rwy,2
Other Bounced Landing,2
Other Rwy Condition,2
Lighting And Equip,2
Other Safety Suggestion,2
Other Airport Signage,2
Other LONG LANDING,2
Other LAHSO,2
Other Short Taxi,2
Other LWOC,2
Other Spatial Disorientation,2
Other ARPT MARKING,2
HEARBACK. CREW CONCEPT,2
Other SIGNAGE,2
Other TXWY SIGNAGE,2
Other LANDED AT WRONG ARPT,2
Other RWY CLOSED,2
Other Loss of Electrical Pwr,2
Other SIM CALL SIGN,2
Other GPWS EVENT,2
Other Uncontrollable Wing Movements,2
Other LOW FUEL STATE,2
Other PLT INSTRUMENT PROFICIENCY,2
Other Flt Plan Closure,2
Other IMC IN VFR FLT,2
Other CLOUD CLRNC,2
Other LIGHT BLINDNESS,2
Other Visual Apch During Marginal Wx,2
Other Lightening Strike,2
Other T.E. FLAP MALFUNCTION,1
Other Air Data Comp,1
Failure,1
Other R ENGINE SHUTDOWN,1
Other CARGO DOOR WARNING,1
Other Left Main Gear Failure,1
Other Nose Steering Malf,1
Other SPLIT FLAP INDICATION,1
Other EMERG OFF ARPT LNDG,1
Other ACFT NOT READY FOR DEP,1
Other Eng Sparks at Start up,1
Other CAPT REFUSED ACFT,1
Other Capt A/S + Altimeter Malfunction,1
Other T.E OTBD Flap Malfunction,1
Other R ENGINE TAILPIPE FIRE WARNING,1
Other L.E. Flap Maile Indication,1
Other Loss Of Rudder Control,1
Other PHASE ONE INSP,1
Other Left 1 Windshield Failed,1
Other FO Windshield Failure,1
Other LNDG Surface Condition,1
Other Snow On Rwy,1
Other Tire Damage Missed On Post Flt Insp.,1
Other IOG FAILURE,1
Other PUBLICATION DEFICIENCY,1
Other Closed Rwys Divert,1
Other Lands With Low Fuel,1
Other Fuel Siphoning,1
Other UNABLE TO CAPTURE LOC/GS,1
Other SECURITY INSPC NOT ACCOMPLISHED,1
Other CHART DESIGN,1
Other LT OTBD FLAP SPINDLE FAILURE,1
Other HIGH SPEED SKIDDING TUTN,1
Other EMERGENCY LNDG,1
Other NO REPAIR DOCUMENTATION,1
Other EXCESSIVE SPEED,1
Other DESCENT BELOW GLIDESLOPE,1
Other SMOKE AND SMELL IN COCKPIT,1
Other RADIO FAILURE,1
Other UNCOORD ARPT APCH/LNDG,1
Other FMC RWY SELECTION,1
Other Cklist Design,1
Other COMPUTER FAILURE,1
Other RE CLRNC PROCS,1
Other PRECAUTIONARY LNDG,1
Other FUEL - OIL CONTAMINATION,1
Other Autothrottle Failure,1
Other GEAR COLLAPSE,1
Other Localizer Malfunction,1
Other Cabin Depressuriaztion,1
Other L Spoiler Failed To Retract,1
Other Loose Fuel Cap,1
Other TOTAL ELEC PWR LOSS,1
Other Maint Diversion,1
Other RECURRING MAINT PROB,1
Other OIL LOSS SUSPECTED,1
Other GND CREW-ATC PERCEPTION,1
Other BLANKING PLUG CAUSES LOSS OF GEARBOX OIL,1
Other ID PROBLEM IN DCA ADIZ,1
Other MAIN TIRE EXPLODED,1
Other FWD ENTRANCE DOOR FALSE LATCH,1
Other LOSS OF COM FREQ TXPNDR CODING,1
Other UNAUTH RWY OP,1
Other GEAR HANDLE STUCK DOWN POS,1
Other CRACKLING & FLASHING FROM C/B PANEL,1
Other NO GUIDEMAN FOR ACFT GATE PARKING,1
Other RT ENGINE SHUTDOWN,1
Other NOSE GEAR FAILED TO EXTEND,1
Other FLAP VANE DEPARTED ACFT,1
Other CAPT ILLNESS,1
Other Speed Restriction,1
Other CKLIST USE DISTR LIGHTING,1
Other PORPOISE ON FINAL,1
Other UNCOMMANDED PITCH UP,1
Other Loss of Electrical Power,1
Other ACFT/GROSS/WT,1
Other R BAGGAGE DOOR FAILED,1
Other Attached tow bar,1
Other Window Heat Proc,1
Other #1 ENG ROLLBACK,1
Other ACFT DEEMED UNACCEPTABLE,1
Other CARGO DOOR CAME OPEN IN FLT,1
Other Cockpit Door Interference,1
Other INADVERTANT IFSD,1
Other Flap Disagree Warning,1
Other BIRD STRIKE DAMAGE,1
Other PANEL DELAMINATED,1
Other R Wing Body Overheat Warning,1
Other LOSS OF PITCHTRIM,1
Other FALSE DOOR WARNING,1
Other BROKEN TOW BAR,1
Other Access Door Departed Acft,1
Other lost com,1
Other AUDIO BLEED THRU,1
Other LOST ELECTRICAL,1
Other NO TEST OR REPAIR PROC,1
Other NOSEWHEEL DEPARTED ACFT,1
Other Loss of Right AC Bus,1
Other PAX INJURY - AIRPORT DESIGN,1
Other DIFFICULTY OPENING COCKPIT DOOR,1
Other Landing Gear Failed to Extend,1
Other INCORRECT RWY DATA,1
Other Blocked Glideslope Signal,1
Other LOSS OF #1 ENG CTL,1
Other LOSS OF ELECTRICAL POWER,1
Other R FIRE WARNING FALSE WARNING,1
Other Flight Crew Injury,1
Other GND FIRE-BAGGAGE,1
Other Left Gen Drive Failure,1
Other NOSE GEAR STEERING DISCONNECTED,1
Other Dispatch Release Error,1
Other Brake Temp Exceeds Max Limit,1
Other PBE Explosions,1
Other LNDG GEAR COLLAPSE,1
Other Overweight LNDG,1
Other ENRTE Return,1
Other Tkof Proc,1
Other Unable to Disconnect Autoplt,1
Other Fuel Imbalance,1
Other Loss of DC Bus,1
Other Standing water AFT,1
Other Gross Weight Problem,1
Other Contract Maint Repair,1
Other Loss Of Right Hydraulics,1
Other RT. FLT Director and A/T flollowed malfunction FML - PMC SYS.,1
Other Gross Tkof Wt.,1
Other Unsecured Galley Cart,1
Other Temp Loss Of ILS Signal,1
Other Main Ferry with no permit,1
Other Failed to Extend Previous Report,1
Other Propeller Control Pin Failure,1
Other Loss of Com.,1
Other Oxygen Depletion,1
Other Loss of Pitch Trim,1
Other Outer front Window Pane Failure,1
